# CC-CEDICT converted to Zhuyin by tools/build_zhuyin_dictionary.py
# key<TAB>candidate1 candidate2 ...
# Candidates ranked with McBopomofo phrase.occ frequency data
ㄇ	姆 嘸 呣
ㄕㄨㄤㄖㄣㄐㄧㄢ	雙人間 雙刃劍
ㄕㄨㄤㄖㄣㄔㄨㄤ	雙人床
ㄕㄨㄤㄖㄨㄟㄌㄢ	雙蕊蘭
ㄕㄨㄤㄘㄥㄅㄚㄕ	雙層巴士
ㄕㄨㄤㄘㄥㄔㄨㄤ	雙層床
ㄕㄨㄤㄧㄈㄟㄐㄧ	雙翼飛機
ㄕㄨㄤㄧㄚㄕㄢㄕ	雙鴨山市
ㄕㄨㄤㄧㄣㄐㄧㄝ	雙音節
ㄕㄨㄤㄧㄤㄕㄨㄟ	雙氧水
ㄕㄨㄧㄍㄢㄐㄩㄣ	鼠疫桿菌
ㄕㄨㄧㄑㄧㄢㄐㄧ	數以千計
ㄕㄨㄨㄛㄇㄠㄇㄟ	恕我冒昧
ㄕㄨㄨㄟㄨㄤㄌㄨ	數位網路
ㄕㄨㄩㄓㄡㄗㄌㄨ	殊域周咨錄
ㄕㄩㄔㄨㄟㄍㄨㄟ	食玉炊桂
ㄕㄩㄝㄍㄜㄇㄧㄥ	十月革命
ㄕㄩㄣㄏㄥㄊㄨㄥ	時運亨通
ㄖˋㄅㄣˇㄉㄠˉ	日本刀
ㄖˋㄅㄣˇㄏㄞˇ	日本海
ㄖˋㄅㄣˇㄖㄣˊ	日本人
ㄖˋㄆㄧㄢˉㄕˊ	日偏食
ㄖˋㄋㄟˋㄨㄚˇ	日內瓦
ㄖˋㄋㄧˇㄇㄚˉ	日你媽
ㄖˋㄍㄨㄤˉㄩˋ	日光浴
ㄖˋㄎㄚˉㄗㄜˊ	日喀則
ㄖˋㄏㄨㄢˊㄕˊ	日環食
ㄖˋㄐㄧˋㄅㄣˇ	日記本
ㄖˋㄑㄩㄢˊㄕˊ	日全食
ㄖˋㄕㄞˋㄕㄤˉ	日曬傷
ㄖˋㄩㄝˋㄊㄢˊ	日月潭
ㄖˋㄩㄝˋㄩㄣˋ	日月暈
ㄖㄅㄣㄌㄧㄡㄧㄥ	日本柳鶯
ㄖㄅㄣㄏㄤㄎㄨㄥ	日本航空
ㄖㄅㄣㄐㄧㄌㄧㄥ	日本鶺鴒
ㄖㄅㄣㄓㄠㄒㄧㄚ	日本沼蝦
ㄖㄇㄨㄊㄨㄑㄩㄥ	日暮途窮
ㄖㄉㄧㄢㄉㄧㄢㄗ	日電電子
ㄖㄌㄨㄛㄒㄧㄕㄢ	日落西山
ㄖㄏㄨㄛㄩㄥㄏㄨ	日活用戶
ㄖㄑㄩㄧㄢㄓㄨㄥ	日趨嚴重
ㄖㄖㄣㄇㄧㄣㄅㄠ	日人民報
ㄖㄜˇㄌㄡˊㄗ˙	惹嘍子 惹婁子 惹樓子
ㄖㄜˇㄕˋㄈㄟˉ	惹是非
ㄖㄜˋㄉㄞˋㄩˊ	熱帶魚
ㄖㄜˋㄦˇㄨㄟˊ	熱爾韋
ㄖㄜㄉㄞㄈㄥㄅㄠ	熱帶風暴
ㄖㄜㄉㄞㄉㄧㄑㄩ	熱帶地區
ㄖㄜㄉㄞㄩㄌㄧㄣ	熱帶雨林
ㄖㄜㄉㄨㄟㄌㄧㄡ	熱對流
ㄖㄜㄏㄨㄥㄐㄧㄡ	熱紅酒
ㄖㄜㄐㄧㄥㄌㄨㄢ	熱痙攣
ㄖㄜㄑㄧㄊㄥㄊㄥ	熱氣騰騰
ㄖㄜㄑㄧㄥㄍㄨㄛ	熱情果
ㄖㄜㄑㄧㄥㄧㄤㄧ	熱情洋溢
ㄖㄜㄒㄧㄤㄅㄧㄥ	熱香餅
ㄖㄜㄔㄠㄖㄜㄇㄞ	熱炒熱賣
ㄖㄜㄕㄨㄞㄐㄧㄝ	熱衰竭
ㄖㄜㄕㄨㄟㄆㄧㄥ	熱水瓶
ㄖㄜㄖㄣㄓㄨㄇㄨ	惹人注目
ㄖㄜㄖㄨㄥㄐㄧㄠ	熱熔膠
ㄖㄜㄙㄨㄛㄍㄨㄢ	熱縮管
ㄖㄠˋㄅㄛˊㄗ˙	繞脖子
ㄖㄠˋㄨㄢˉㄖ˙	繞彎兒
ㄖㄠˋㄨㄢˉㄗ˙	繞彎子
ㄖㄠˋㄩㄢˇㄖ˙	繞遠兒
ㄖㄠㄆㄧㄥㄒㄧㄢ	饒平縣
ㄖㄠㄌㄞㄖㄠㄑㄩ	繞來繞去
ㄖㄠㄌㄧㄤㄙㄢㄖ	繞梁三日
ㄖㄠㄕㄜㄧㄣㄩㄝ	饒舌音樂
ㄖㄠㄧㄡㄈㄥㄑㄩ	饒有風趣
ㄖㄡˋㄓˋㄍㄣˉ	肉質根
ㄖㄡㄉㄡㄎㄡㄎㄜ	肉豆蔻科
ㄖㄡㄋㄥㄎㄜㄍㄤ	柔能克剛
ㄖㄡㄖㄨㄢㄐㄧㄥ	柔軟精
ㄖㄡㄧㄢㄈㄢㄊㄞ	肉眼凡胎
ㄖㄢˇㄙㄜˋㄓˋ	染色質
ㄖㄢˊㄕㄠˉㄔˊ	燃燒匙
ㄖㄢㄅㄧㄥㄌㄨㄢ	然並卵
ㄖㄢㄈㄥㄒㄧㄙㄨ	染風習俗
ㄖㄢㄖㄢㄕㄤㄕㄥ	冉冉上升
ㄖㄣˊㄈㄢˋㄗ˙	人販子
ㄖㄣˊㄕˋㄅㄨˋ	人事部
ㄖㄣˊㄕˋㄔㄨˋ	人事處
ㄖㄣˊㄗㄠˋㄙˉ	人造絲
ㄖㄣˊㄞˋㄑㄩˉ	仁愛區
ㄖㄣˊㄡˇㄒㄧˋ	人偶戲
ㄖㄣˊㄩㄢˊㄖ˙	人緣兒
ㄖㄣˋㄓˉㄓㄢˋ	認知戰
ㄖㄣˋㄖㄣˊㄖ˙	認人兒
ㄖㄣˋㄙˇㄌㄧˇ	認死理
ㄖㄣˋㄧˉㄍㄜ˙	任一個
ㄖㄣˋㄨ˙ㄌㄢˊ	任務欄
ㄖㄣㄇㄧㄣㄖㄅㄠ	人民日報
ㄖㄣㄇㄧㄥㄓㄨㄤ	任命狀
ㄖㄣㄇㄨㄍㄡㄧㄤ	人模狗樣
ㄖㄣㄊㄨㄥㄍㄜㄞ	忍痛割愛
ㄖㄣㄌㄞㄖㄣㄨㄤ	人來人往
ㄖㄣㄌㄟㄑㄧㄩㄢ	人類起源
ㄖㄣㄌㄠㄖㄣㄩㄢ	任勞任怨
ㄖㄣㄌㄧㄔㄜㄈㄨ	人力車夫
ㄖㄣㄍㄜㄇㄟㄌㄧ	人格魅力
ㄖㄣㄍㄠㄇㄚㄉㄚ	人高馬大
ㄖㄣㄍㄡㄊㄡㄕㄥ	忍垢偷生
ㄖㄣㄍㄨㄥㄌㄧㄣ	人工林
ㄖㄣㄍㄨㄥㄓㄋㄥ	人工智能
ㄖㄣㄍㄨㄥㄦㄨㄛ	人工耳蝸
ㄖㄣㄎㄡㄆㄨㄔㄚ	人口普查
ㄖㄣㄎㄡㄇㄧㄉㄨ	人口密度
ㄖㄣㄎㄡㄇㄧㄐㄧ	人口密集
ㄖㄣㄎㄡㄈㄢㄩㄣ	人口販運
ㄖㄣㄎㄡㄔㄡㄇㄧ	人口稠密
ㄖㄣㄏㄞㄓㄢㄕㄨ	人海戰術
ㄖㄣㄏㄨㄚㄒㄧㄢ	仁化縣
ㄖㄣㄏㄨㄞㄒㄧㄢ	仁懷縣
ㄖㄣㄐㄧㄠㄒㄧㄝ	認腳鞋
ㄖㄣㄐㄧㄠㄗㄅㄣ	認繳資本
ㄖㄣㄐㄧㄢㄉㄧㄩ	人間地獄
ㄖㄣㄐㄧㄢㄖㄣㄞ	人見人愛
ㄖㄣㄑㄧㄥㄕㄍㄨ	人情世故
ㄖㄣㄑㄧㄥㄨㄟㄖ	人情味兒
ㄖㄣㄑㄩㄢㄉㄡㄕ	人權鬥士
ㄖㄣㄒㄧㄢㄕㄋㄥ	任賢使能
ㄖㄣㄒㄧㄣㄍㄨㄛ	人心果
ㄖㄣㄒㄧㄤㄒㄩㄝ	人相學
ㄖㄣㄒㄧㄥㄏㄨㄚ	人性化
ㄖㄣㄓㄑㄧㄐㄧㄢ	任職期間
ㄖㄣㄓㄔㄤㄑㄧㄥ	人之常情
ㄖㄣㄕㄍㄨㄢㄌㄧ	人事管理
ㄖㄣㄕㄟㄨㄍㄨㄛ	人誰無過
ㄖㄣㄕㄢㄖㄣㄏㄞ	人山人海
ㄖㄣㄕㄣㄢㄑㄩㄢ	人身安全
ㄖㄣㄕㄥㄓㄠㄌㄨ	人生朝露
ㄖㄣㄕㄥㄖㄨㄇㄥ	人生如夢
ㄖㄣㄖㄡㄕㄚㄅㄠ	人肉沙包
ㄖㄣㄖㄣㄐㄧㄝㄓ	人人皆知
ㄖㄣㄖㄣㄐㄩㄣㄗ	仁人君子
ㄖㄣㄖㄣㄗㄞㄍㄜ	任人宰割
ㄖㄣㄖㄣㄧㄡㄗㄜ	人人有責
ㄖㄣㄖㄨㄊㄡㄕㄥ	忍辱偷生
ㄖㄣㄖㄨㄏㄢㄍㄡ	忍辱含垢
ㄖㄣㄗㄠㄋㄞㄧㄡ	人造奶油
ㄖㄣㄗㄥㄍㄡㄧㄢ	人憎狗厭
ㄖㄣㄘㄞㄌㄧㄡㄕ	人才流失
ㄖㄣㄘㄞㄌㄧㄤㄕ	人財兩失
ㄖㄣㄘㄞㄐㄧㄐㄧ	人才濟濟
ㄖㄣㄧㄡㄙㄢㄐㄧ	人有三急
ㄖㄣㄧㄢㄌㄧㄅㄛ	仁言利博
ㄖㄣㄧㄢㄎㄜㄨㄟ	人言可畏
ㄖㄣㄧㄢㄏㄠㄖㄤ	人煙浩穰
ㄖㄣㄧㄢㄐㄧㄐㄧ	人言籍籍
ㄖㄣㄧㄢㄒㄧㄕㄠ	人煙稀少
ㄖㄣㄧㄢㄔㄡㄇㄧ	人煙稠密
ㄖㄣㄧㄢㄗㄜㄗㄜ	人言嘖嘖
ㄖㄣㄧㄤㄇㄚㄈㄢ	人仰馬翻
ㄖㄣㄨㄖㄣㄌㄧㄡ	人五人六
ㄖㄣㄨㄣㄕㄜㄎㄜ	人文社科
ㄖㄤㄏㄨㄌㄨㄑㄩ	讓胡路區
ㄖㄤㄖㄤㄒㄧㄒㄧ	攘攘熙熙
ㄖㄧㄝㄐㄧㄢㄔㄥ	日夜兼程
ㄖㄨˇㄓㄡˉㄕˋ	汝州市
ㄖㄨˇㄕㄢˉㄕˋ	乳山市
ㄖㄨˊㄍㄠˉㄕˋ	如皋市
ㄖㄨˊㄧˋㄊㄠˋ	如意套
ㄖㄨˋㄔㄤˇㄕˋ	入場式
ㄖㄨˋㄨˇㄕㄥˉ	入伍生
ㄖㄨㄅㄨㄈㄨㄔㄨ	入不敷出
ㄖㄨㄇㄛㄏㄜㄓㄜ	濡沫涸轍
ㄖㄨㄇㄣㄎㄜㄔㄥ	入門課程
ㄖㄨㄇㄨㄙㄢㄈㄣ	入木三分
ㄖㄨㄈㄤㄕㄜㄧㄥ	乳房攝影
ㄖㄨㄉㄨㄛㄧㄢㄨ	如墮煙霧
ㄖㄨㄉㄨㄥㄒㄧㄢ	如東縣
ㄖㄨㄌㄟㄍㄨㄢㄦ	如雷貫耳
ㄖㄨㄌㄠㄉㄢㄍㄠ	乳酪蛋糕
ㄖㄨㄌㄧㄣㄨㄞㄕ	儒林外史
ㄖㄨㄍㄥㄗㄞㄏㄡ	如鯁在喉
ㄖㄨㄍㄨㄛㄕㄨㄛ	如果說
ㄖㄨㄍㄨㄢㄒㄩㄝ	入關學
ㄖㄨㄏㄨㄊㄧㄢㄧ	如虎添翼
ㄖㄨㄏㄨㄛㄓㄅㄠ	如獲至寶
ㄖㄨㄏㄨㄤㄓㄕㄜ	如簧之舌
ㄖㄨㄐㄧㄠㄙㄑㄧ	如膠似漆
ㄖㄨㄑㄧㄖㄨㄙㄨ	如泣如訴
ㄖㄨㄑㄩㄈㄨㄍㄨ	如蛆附骨
ㄖㄨㄒㄧㄚㄍㄨㄟ	日無暇晷
ㄖㄨㄔㄖㄨㄗㄨㄟ	如癡如醉
ㄖㄨㄕㄓㄨㄥㄈㄨ	如釋重負
ㄖㄨㄕㄖㄨㄏㄨㄚ	如詩如畫
ㄖㄨㄗㄎㄜㄐㄧㄠ	孺子可教
ㄖㄨㄗㄨㄟㄏㄨㄚ	入罪化
ㄖㄨㄗㄨㄟㄖㄨㄔ	如醉如癡
ㄖㄨㄙㄤㄎㄠㄅㄧ	如喪考妣
ㄖㄨㄙㄨㄖㄨㄑㄧ	如訴如泣
ㄖㄨㄙㄨㄢㄐㄩㄣ	乳酸菌
ㄖㄨㄛˋㄉㄧㄢˇ	弱點
ㄖㄨㄛˋㄊㄧㄥˉ	弱聽
ㄖㄨㄛˋㄍㄨㄛˇ	若果
ㄖㄨㄛˋㄏㄨㄚˋ	弱化
ㄖㄨㄛˋㄐㄧㄢˇ	弱鹼
ㄖㄨㄛˋㄑㄧㄤˉ	若羌
ㄖㄨㄛˋㄒㄧㄠˇ	弱小
ㄖㄨㄛˋㄒㄧㄤˋ	弱項
ㄖㄨㄛˋㄔㄨㄥˊ	若蟲
ㄖㄨㄛˋㄙㄨㄢˉ	弱酸
ㄖㄨㄛㄗㄨㄛㄩㄥ	弱作用
ㄖㄨㄟˋㄆㄧㄥˊ	銳評
ㄖㄨㄟˋㄇㄧㄣˇ	銳敏
ㄖㄨㄟˋㄉㄧㄢˇ	瑞典
ㄖㄨㄟˋㄏㄨㄚˋ	銳化
ㄖㄨㄟˋㄐㄧㄠˇ	銳角
ㄖㄨㄟˋㄐㄧㄢˇ	銳減
ㄖㄨㄟˋㄐㄧㄣˉ	瑞金
ㄖㄨㄟˋㄐㄧㄣˋ	銳進
ㄖㄨㄟˋㄒㄧㄤˉ	瑞香
ㄖㄨㄟˋㄒㄩㄝˇ	瑞雪
ㄖㄨㄟˋㄙㄨㄟˋ	瑞穗
ㄖㄨㄟˋㄢˉㄕˋ	瑞安市
ㄖㄨㄟㄉㄧㄢㄖㄣ	瑞典人
ㄖㄨㄟㄔㄥㄒㄧㄢ	芮城縣
ㄖㄨㄟㄕㄈㄚㄌㄤ	瑞士法郎
ㄖㄨㄟㄕㄖㄢㄙㄜ	瑞氏染色
ㄖㄨㄢˇㄆㄧㄢˋ	軟片
ㄖㄨㄢˇㄉㄧㄝˊ	軟碟
ㄖㄨㄢˇㄋㄨㄛˋ	軟糯
ㄖㄨㄢˇㄍㄨㄢˇ	軟管
ㄖㄨㄢˇㄏㄨㄚˋ	軟化
ㄖㄨㄢˇㄏㄨㄛ˙	軟和
ㄖㄨㄢˇㄐㄧㄢˋ	軟件
ㄖㄨㄢˇㄐㄧㄣˋ	軟禁
ㄖㄨㄢˇㄑㄧㄣˊ	阮琴
ㄖㄨㄢˇㄒㄧㄢˊ	阮咸
ㄖㄨㄢˇㄕˋㄗ˙	軟柿子
ㄖㄨㄢˇㄕㄨㄟˇ	軟水
ㄖㄨㄢˇㄖㄨㄛˋ	軟弱
ㄖㄨㄢˇㄗㄨㄛˋ	軟坐 軟座
ㄖㄨㄢㄅㄧㄥㄉㄨ	朊病毒
ㄖㄨㄢㄇㄨㄓㄨㄢ	軟木磚
ㄖㄨㄢㄌㄧㄡㄘㄥ	軟流層
ㄖㄨㄢㄍㄨㄅㄧㄥ	軟骨病
ㄖㄨㄢㄍㄨㄩㄌㄟ	軟骨魚類
ㄖㄨㄢㄐㄧㄚㄍㄤ	軟甲綱
ㄖㄨㄢㄐㄧㄢㄅㄠ	軟件包
ㄖㄨㄢㄐㄧㄣㄩㄥ	阮晉勇
ㄖㄨㄢㄓㄨㄛㄌㄨ	軟著陸
ㄖㄨㄢㄧㄣㄌㄧㄠ	軟飲料
ㄖㄨㄢㄧㄥㄅㄨㄔ	軟硬不吃
ㄖㄨㄢㄧㄥㄐㄧㄢ	軟硬件
ㄖㄨㄣˋㄅㄧㄥˇ	潤餅
ㄖㄨㄣˋㄋㄧㄢˊ	閏年
ㄖㄨㄣˋㄏㄨㄚˊ	潤滑
ㄖㄨㄣˋㄒㄩㄝˊ	潤學
ㄖㄨㄣㄈㄨㄕㄨㄤ	潤膚霜
ㄖㄨㄣㄏㄨㄚㄐㄧ	潤滑劑
ㄖㄨㄣㄏㄨㄚㄧㄝ	潤滑液
ㄖㄨㄣㄏㄨㄚㄧㄡ	潤滑油
ㄖㄨㄣㄔㄨㄣㄍㄠ	潤唇膏
ㄖㄨㄥˇㄅㄧㄥˉ	冗兵
ㄖㄨㄥˇㄍㄨㄢˉ	冗官
ㄖㄨㄥˇㄓㄨㄟˋ	冗贅
ㄖㄨㄥˇㄖㄨㄥˇ	冗冗
ㄖㄨㄥˊㄅㄧㄥˉ	融冰
ㄖㄨㄥˊㄇㄧㄣˊ	榮民
ㄖㄨㄥˊㄉㄧㄢˇ	熔點
ㄖㄨㄥˊㄉㄨㄢˋ	熔斷
ㄖㄨㄥˊㄉㄨㄥˋ	溶洞
ㄖㄨㄥˊㄊㄨㄥˉ	融通
ㄖㄨㄥˊㄌㄧㄢˋ	熔煉
ㄖㄨㄥˊㄌㄧㄤˋ	容量
ㄖㄨㄥˊㄍㄨㄟˉ	榮歸
ㄖㄨㄥˊㄍㄨㄤˉ	榮光
ㄖㄨㄥˊㄏㄨㄚˊ	榮華
ㄖㄨㄥˊㄏㄨㄚˋ	融化 溶化 熔化
ㄖㄨㄥˊㄏㄨㄛˋ	榮獲 容或
ㄖㄨㄥˊㄏㄨㄟˇ	熔毀
ㄖㄨㄥˊㄏㄨㄟˋ	融會 融匯
ㄖㄨㄥˊㄐㄧㄚˇ	戎甲
ㄖㄨㄥˊㄐㄧㄝˇ	溶解 融解 熔解
ㄖㄨㄥˊㄐㄧㄝˊ	戎羯
ㄖㄨㄥˊㄐㄧㄤˉ	榕江 熔漿
ㄖㄨㄥˊㄐㄧㄥˇ	榮景
ㄖㄨㄥˊㄐㄩㄣˉ	榮軍
ㄖㄨㄥˊㄑㄧㄚˋ	融洽
ㄖㄨㄥˊㄑㄧㄡˊ	絨球
ㄖㄨㄥˊㄒㄧㄚˋ	容下
ㄖㄨㄥˊㄒㄧㄢˋ	絨線 容縣 榮縣
ㄖㄨㄥˊㄒㄧㄥˋ	榮幸
ㄖㄨㄥˊㄒㄩㄝˇ	融雪
ㄖㄨㄥˊㄒㄩㄝˋ	溶血
ㄖㄨㄥˊㄓㄨㄤˉ	戎裝
ㄖㄨㄥˊㄕㄨㄟˇ	融水
ㄖㄨㄥˊㄕㄨㄢˉ	溶栓
ㄖㄨㄥˊㄖㄨㄥˊ	融融 熔融
ㄖㄨㄥˊㄗㄨㄥˇ	榮總
ㄖㄨㄥˊㄘㄨㄛˋ	容錯
ㄖㄨㄥˊㄜˊㄕˉ	絨額鳾
ㄖㄨㄥㄍㄨㄟㄓㄨ	榮歸主
ㄖㄨㄥㄎㄨㄤㄌㄨ	熔礦爐
ㄖㄨㄥㄏㄜㄨㄟㄧ	融合為一
ㄖㄨㄥㄐㄧㄝㄉㄨ	溶解度
ㄖㄨㄥㄒㄧㄠㄊㄧ	溶小體
ㄖㄨㄥㄔㄥㄒㄧㄢ	容城縣
ㄖㄨㄥㄖㄨㄍㄨㄢ	榮辱觀
ㄖㄨㄥㄧㄢㄌㄧㄡ	熔岩流
ㄖㄨㄥㄧㄢㄕㄙㄜ	容顏失色
ㄖㄨㄥㄨㄟㄧㄊㄧ	融為一體
ㄖㄨㄥㄩㄢㄒㄧㄥ	溶源性
ㄖㄨㄧㄌㄤㄐㄩㄣ	如意郎君
ㄖㄨㄧㄙㄨㄢㄆㄢ	如意算盤
ㄖㄨㄧㄡㄙㄨㄛㄕ	如有所失
ㄖㄨㄧㄥㄓㄨㄔㄡ	如蠅逐臭
ㄖㄨㄩㄉㄜㄕㄨㄟ	如魚得水
ㄖㄩㄝㄖㄨㄙㄨㄛ	日月如梭
ㄗˇㄇㄨˇㄉㄢˋ	子母彈
ㄗˇㄇㄨˇㄎㄡˋ	子母扣
ㄗˇㄇㄨˋㄌㄨˋ	子目錄
ㄗˇㄍㄢˉㄌㄢˊ	紫甘藍
ㄗˇㄍㄨㄥˉㄙˉ	子公司
ㄗˇㄏㄜˊㄔㄜˉ	紫河車
ㄗˇㄐㄧˊㄏㄜˊ	子集合
ㄗˇㄒㄧˋㄅㄠˉ	子細胞
ㄗˇㄔㄥˊㄒㄩˋ	子程序
ㄗˇㄕㄡˋㄉㄞˋ	紫壽帶
ㄗˇㄘㄞˋㄉㄢˉ	子菜單
ㄗˇㄘㄞˋㄊㄞˊ	紫菜苔 紫菜薹
ㄗˇㄘㄞˋㄕㄨˇ	紫菜屬
ㄗˇㄘㄠˇㄎㄜˉ	紫草科
ㄗˇㄙㄨˉㄕㄨˇ	紫蘇屬
ㄗˇㄨˇㄒㄧㄢˋ	子午線
ㄗˇㄩㄣˊㄧㄥˉ	紫雲英
ㄗˉㄍㄜˊㄙㄞˋ	資格賽
ㄗˉㄒㄧㄥˉㄕˋ	資興市
ㄗˉㄕㄥˉㄊㄤˊ	資生堂
ㄗˉㄧㄡˉㄅㄢˉ	資優班
ㄗˉㄧㄡˉㄕㄥˉ	資優生
ㄗˉㄧㄤˇㄘㄥˊ	滋養層
ㄗˉㄧㄤˊㄑㄩˉ	資陽區
ㄗˉㄨㄛˋㄌㄜˋ	茲沃勒
ㄗˋㄅㄞˊㄕㄨˉ	自白書
ㄗˋㄅㄧˋㄓㄥˋ	自閉症
ㄗˋㄆㄞˉㄍㄢˇ	自拍桿
ㄗˋㄆㄞˉㄑㄧˋ	自拍器
ㄗˋㄆㄞˉㄓㄠˋ	自拍照
ㄗˋㄇㄟˊㄊㄧˇ	自媒體
ㄗˋㄇㄠˋㄑㄩˉ	自貿區
ㄗˋㄈㄚˉㄈㄣˇ	自發粉
ㄗˋㄈㄥˉㄉㄞˋ	自封袋
ㄗˋㄈㄨˊㄐㄧˊ	字符集
ㄗˋㄉㄧㄥˋㄧˋ	自定義
ㄗˋㄊㄧㄝˇㄖ˙	字帖兒
ㄗˋㄌㄞˊㄕㄨˊ	自來熟
ㄗˋㄍㄨㄥˋㄕˋ	自貢市
ㄗˋㄏㄠˊㄍㄢˇ	自豪感
ㄗˋㄐㄧˇㄖㄣˊ	自己人
ㄗˋㄓˋㄑㄩㄢˊ	自治權
ㄗˋㄓˋㄒㄧㄢˋ	自治縣
ㄗˋㄓㄨˋㄘㄢˉ	自助餐
ㄗˋㄓㄨˋㄧㄡˊ	自助遊
ㄗˋㄖㄢˊㄈㄚˇ	自然法
ㄗˋㄖㄢˊㄕㄨˋ	自然數
ㄗˋㄖㄢˊㄖㄣˊ	自然人
ㄗˋㄖㄢˊㄘㄥˊ	自然層
ㄗˋㄧㄡˊㄆㄞˋ	自由派
ㄗˋㄧㄡˊㄉㄤˇ	自由黨
ㄗˋㄧㄡˊㄉㄨˋ	自由度
ㄗˋㄧㄡˊㄍㄤˇ	自由港
ㄗˋㄧㄡˊㄏㄢˊ	自由焓
ㄗˋㄧㄡˊㄐㄧˉ	自由基
ㄗˋㄧㄡˊㄔㄥˊ	自由城
ㄗˋㄧㄡˊㄧㄝˋ	自由業
ㄗˋㄧㄡˊㄩㄥˇ	自由泳
ㄗˋㄧㄥˊㄕㄤˉ	自營商
ㄗˋㄩㄢˊㄐㄧˊ	字元集
ㄗˋㄩㄢˋㄓㄜˇ	自願者
ㄗㄅㄟㄑㄧㄥㄒㄩ	自卑情緒
ㄗㄅㄟㄒㄧㄣㄌㄧ	自卑心理
ㄗㄅㄠㄐㄧㄚㄇㄣ	自報家門
ㄗㄅㄨㄅㄧㄕㄨㄛ	自不必說
ㄗㄅㄨㄌㄧㄤㄌㄧ	自不量力
ㄗㄇㄧㄥㄅㄨㄈㄢ	自命不凡
ㄗㄇㄨㄕㄨㄣㄒㄩ	字母順序
ㄗㄈㄚㄉㄧㄢㄨㄟ	自發電位
ㄗㄈㄥㄐㄧㄢㄩㄝ	自奉儉約
ㄗㄈㄥㄕㄣㄐㄧㄢ	自奉甚儉
ㄗㄈㄨㄕㄡㄐㄧㄠ	自縛手腳
ㄗㄈㄨㄧㄥㄎㄨㄟ	自負盈虧
ㄗㄉㄢㄏㄨㄛㄔㄜ	子彈火車
ㄗㄉㄧㄒㄧㄤㄕㄤ	自底向上
ㄗㄉㄨㄥㄅㄨㄉㄠ	自動步道
ㄗㄉㄨㄥㄇㄧㄢㄧ	自動免疫
ㄗㄉㄨㄥㄈㄨㄊㄧ	自動扶梯
ㄗㄉㄨㄥㄌㄡㄊㄧ	自動樓梯
ㄗㄉㄨㄥㄌㄧㄏㄜ	自動離合
ㄗㄉㄨㄥㄎㄨㄥㄓ	自動控制
ㄗㄉㄨㄥㄕㄧㄌㄞ	自懂事以來
ㄗㄊㄡㄌㄨㄛㄨㄤ	自投羅網
ㄗㄌㄞㄕㄨㄟㄅㄧ	自來水筆
ㄗㄌㄧㄏㄤㄐㄧㄢ	字裡行間
ㄗㄌㄧㄠㄘㄤㄔㄨ	資料倉儲
ㄗㄌㄨㄛㄌㄢㄙㄜ	紫羅蘭色
ㄗㄍㄨㄅㄨㄒㄧㄚ	自顧不暇
ㄗㄍㄨㄥㄐㄧㄥㄞ	子宮頸癌
ㄗㄎㄚㄅㄧㄥㄉㄨ	茲卡病毒
ㄗㄎㄨㄟㄅㄨㄖㄨ	自愧不如
ㄗㄎㄨㄟㄈㄨㄖㄨ	自愧弗如
ㄗㄏㄨㄚㄕㄡㄈㄣ	自花授粉
ㄗㄐㄧㄉㄨㄥㄕㄡ	自己動手
ㄗㄐㄧㄣㄍㄤㄍㄢ	資金槓桿
ㄗㄐㄩㄅㄨㄑㄧㄢ	趑趄不前
ㄗㄐㄩㄋㄧㄝㄖㄨ	趑趄囁嚅 趦趄囁嚅
ㄗㄐㄩㄝㄈㄣㄇㄨ	自掘墳墓
ㄗㄑㄧㄉㄨㄥㄌㄞ	紫氣東來
ㄗㄑㄧㄤㄅㄨㄒㄧ	自強不息
ㄗㄑㄧㄥㄗㄐㄧㄢ	自輕自賤
ㄗㄑㄩㄇㄧㄝㄨㄤ	自取滅亡
ㄗㄑㄩㄑㄧㄐㄧㄡ	自取其咎
ㄗㄒㄧㄤㄘㄢㄕㄚ	自相殘殺
ㄗㄒㄧㄥㄔㄜㄉㄠ	自行車道
ㄗㄒㄧㄥㄔㄜㄙㄞ	自行車賽
ㄗㄒㄩㄝㄔㄥㄘㄞ	自學成才
ㄗㄒㄩㄣㄈㄢㄋㄠ	自尋煩惱
ㄗㄒㄩㄣㄎㄜㄐㄧ	資訊科技
ㄗㄓㄊㄨㄥㄐㄧㄢ	資治通鑒
ㄗㄓㄣㄐㄩㄓㄨㄛ	字斟句酌
ㄗㄓㄥㄑㄧㄤㄩㄢ	字正腔圓
ㄗㄓㄨㄅㄧㄐㄧㄠ	錙銖必較
ㄗㄓㄨㄒㄧㄊㄨㄥ	自主系統
ㄗㄔㄌㄧㄤㄋㄧㄠ	紫翅椋鳥
ㄗㄔㄢㄐㄧㄝㄐㄧ	資產階級
ㄗㄕㄚㄕㄅㄠㄓㄚ	自殺式爆炸
ㄗㄕㄚㄕㄓㄚㄉㄢ	自殺式炸彈
ㄗㄖㄢㄆㄧㄣㄉㄨ	自然拼讀
ㄗㄖㄢㄈㄥㄍㄨㄤ	自然風光
ㄗㄖㄢㄉㄨㄟㄕㄨ	自然對數
ㄗㄖㄢㄌㄧㄠㄈㄚ	自然療法
ㄗㄖㄢㄎㄜㄒㄩㄝ	自然科學
ㄗㄖㄢㄐㄧㄥㄐㄧ	自然經濟
